Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Month,Temp_Celsius,Temp_Kelvin,Temp_Squared,Temp_Comfort_Score,Extreme_Hot,Extreme_Cold,Wind_Speed_kmh,Wind_Speed_ms,Wind_Speed_Squared,High_Wind,Calm_Wind,Cloud_Coverage_Oktas,Cloud_Coverage_Percent,Cloud_Coverage_Squared,Clear_Sky,Overcast,Is_Precipitation,Is_Clear,Is_Fog,Is_Thunderstorm,Is_Snow,Weather_Severity,Weather_Comfort_Index,Heat_Index,Shopping_Weather_Score,Temperatur_Lag_1,Temperatur_Lag_2,Temperatur_Lag_3,Temperatur_Lag_7,Windgeschwindigkeit_Lag_1,Windgeschwindigkeit_Lag_2,Windgeschwindigkeit_Lag_3,Windgeschwindigkeit_Lag_7,Bewoelkung_Lag_1,Bewoelkung_Lag_2,Bewoelkung_Lag_3,Bewoelkung_Lag_7,Weather_Severity_Lag_1,Weather_Severity_Lag_2,Weather_Severity_Lag_3,Weather_Severity_Lag_7,Shopping_Weather_Score_Lag_1,Shopping_Weather_Score_Lag_2,Shopping_Weather_Score_Lag_3,Shopping_Weather_Score_Lag_7,Temperatur_Rolling_Mean_3d,Temperatur_Rolling_Std_3d,Temperatur_Rolling_Mean_7d,Temperatur_Rolling_Std_7d,Temperatur_Rolling_Mean_14d,Temperatur_Rolling_Std_14d,Windgeschwindigkeit_Rolling_Mean_3d,Windgeschwindigkeit_Rolling_Std_3d,Windgeschwindigkeit_Rolling_Mean_7d,Windgeschwindigkeit_Rolling_Std_7d,Windgeschwindigkeit_Rolling_Mean_14d,Windgeschwindigkeit_Rolling_Std_14d,Bewoelkung_Rolling_Mean_3d,Bewoelkung_Rolling_Std_3d,Bewoelkung_Rolling_Mean_7d,Bewoelkung_Rolling_Std_7d,Bewoelkung_Rolling_Mean_14d,Bewoelkung_Rolling_Std_14d,Weather_Severity_Rolling_Mean_3d,Weather_Severity_Rolling_Std_3d,Weather_Severity_Rolling_Mean_7d,Weather_Severity_Rolling_Std_7d,Weather_Severity_Rolling_Mean_14d,Weather_Severity_Rolling_Std_14d,Shopping_Weather_Score_Rolling_Mean_3d,Shopping_Weather_Score_Rolling_Std_3d,Shopping_Weather_Score_Rolling_Mean_7d,Shopping_Weather_Score_Rolling_Std_7d,Shopping_Weather_Score_Rolling_Mean_14d,Shopping_Weather_Score_Rolling_Std_14d,Year,DayOfWeek,DayOfYear,IsWeekend,Quarter,Month_Sin,Month_Cos,DayOfYear_Sin,DayOfYear_Cos,Temp_Wind_Interaction,Temp_Cloud_Interaction,Temp_Seasonal_Deviation,Temp_Category_Cold,Temp_Category_Freezing,Temp_Category_Hot,Temp_Category_Mild,Temp_Category_Warm,Wind_Category_Calm,Wind_Category_Fresh,Wind_Category_Light,Wind_Category_Moderate,Wind_Category_Strong,Cloud_Category_Clear,Cloud_Category_Mostly_Clear,Cloud_Category_Mostly_Cloudy,Cloud_Category_Overcast,Cloud_Category_Partly_Cloudy,Weather_Category_Clear_to_Partly_Cloudy,Weather_Category_Drizzle,Weather_Category_Fog,Weather_Category_Mist_Fog,Weather_Category_Other,Weather_Category_Precipitation_Vicinity,Weather_Category_Rain,Weather_Category_Snow,Weather_Category_Thunderstorm,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2013-04-30,3.0,11.116666,15,0.0,4,11.116666,284.266666,123.58026295555601,0,0,0,15,4.166666666666667,225,0,0,3.0,37.5,9.0,0,0,0,1,0,0,0,1,6,11.866666,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116666,0.0,11.116666,0.0,11.116666,0.0,15.0,0.0,15.0,0.0,15.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.5,0.0,7.5,0.0,7.5,0.0,2013,1,120,0,2,0.8660254037844387,-0.4999999999999998,0.8800122039735357,-0.47495107206704995,3.6166660000000004,6.9479162500000005,0.2798834437086093,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-01,0.0,9.9,11,0.0,5,9.9,283.04999999999995,98.01,0,0,0,11,3.0555555555555554,121,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,4,9.9,5.0,11.116666,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,10.508333,0.8603127790391121,10.508333,0.8603127790391121,10.508333,0.8603127790391121,13.0,2.8284271247461903,13.0,2.8284271247461903,13.0,2.8284271247461903,1.5,2.1213203435596424,1.5,2.1213203435596424,1.5,2.1213203435596424,1.0,0.0,1.0,0.0,1.0,0.0,6.25,1.7677669529663689,6.25,1.7677669529663689,6.25,1.7677669529663689,2013,2,121,0,2,0.49999999999999994,-0.8660254037844387,0.8717063187093219,-0.49002866642905923,4.4,9.9,-5.729637096774194,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-02,1.0,11.0375,12,0.0,5,11.0375,284.1875,121.82640624999999,0,0,0,12,3.333333333333333,144,0,0,1.0,12.5,1.0,1,0,0,1,0,0,0,1,5,11.2875,7.0,9.9,11.116666,0.0,0.0,11.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,7.5,0.0,0.0,10.684722,0.6807409763280007,10.684722,0.6807409763280007,10.684722,0.6807409763280007,12.666666666666666,2.0816659994661326,12.666666666666666,2.0816659994661326,12.666666666666666,2.0816659994661326,1.3333333333333333,1.5275252316519468,1.3333333333333333,1.5275252316519468,1.3333333333333333,1.5275252316519468,1.0,0.0,1.0,0.0,1.0,0.0,6.5,1.3228756555322954,6.5,1.3228756555322954,6.5,1.3228756555322954,2013,3,122,0,2,0.49999999999999994,-0.8660254037844387,0.8631421280499114,-0.5049610547215204,5.0375,9.6578125,-4.592137096774195,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-03,0.0,12.9125,9,0.0,5,12.9125,286.0625,166.73265625,0,0,0,9,2.5,81,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,5,12.9125,7.0,11.0375,9.9,11.116666,0.0,12.0,11.0,15.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,7.5,0.0,11.283333333333331,1.521221411673308,11.241666500000001,1.2448644727662785,11.241666500000001,1.2448644727662785,10.666666666666666,1.527525231651946,11.75,2.5,11.75,2.5,0.3333333333333333,0.5773502691896257,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,0.0,6.333333333333333,1.1547005383792517,6.625,1.1086778913041726,6.625,1.1086778913041726,2013,4,123,0,2,0.49999999999999994,-0.8660254037844387,0.854322169749827,-0.5197438121555155,8.4125,12.9125,-2.717137096774195,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-04,0.0,17.95,18,0.0,5,17.95,291.09999999999997,322.2025,0,0,0,18,5.0,324,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,4,17.95,8.0,12.9125,11.0375,9.9,0.0,9.0,12.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,5.0,0.0,13.966666666666667,3.5747887466720787,12.5833332,3.1878854019727862,12.5833332,3.1878854019727862,13.0,4.58257569495584,13.0,3.5355339059327378,13.0,3.5355339059327378,0.3333333333333333,0.5773502691896257,0.8,1.3038404810405297,0.8,1.3038404810405297,1.0,0.0,1.0,0.0,1.0,0.0,7.333333333333333,0.5773502691896263,6.9,1.1401754250991378,6.9,1.1401754250991378,2013,5,124,1,2,0.49999999999999994,-0.8660254037844387,0.8452490573530633,-0.5343725582809786,8.95,17.95,2.3203629032258046,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-05,3.0,16.2125,10,0.0,5,16.2125,289.36249999999995,262.84515624999995,0,0,0,10,2.7777777777777777,100,0,0,3.0,37.5,9.0,0,0,0,1,0,0,0,1,6,16.9625,8.5,17.95,12.9125,11.0375,0.0,18.0,9.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,7.0,7.0,0.0,15.691666666666665,2.5588184936281286,13.188194333333334,3.2132899982094147,13.188194333333334,3.2132899982094147,12.333333333333334,4.932882862316248,12.5,3.391164991562634,12.5,3.391164991562634,1.0,1.7320508075688772,1.1666666666666667,1.4719601443879744,1.1666666666666667,1.4719601443879744,1.0,0.0,1.0,0.0,1.0,0.0,7.833333333333333,0.7637626158259738,7.166666666666667,1.2110601416389966,7.166666666666667,1.2110601416389966,2013,6,125,1,2,0.49999999999999994,-0.8660254037844387,0.8359254794186372,-0.548842958284719,11.212499999999999,10.1328125,0.5828629032258039,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-06,0.0,15.675,8,0.0,5,15.675,288.825,245.70562500000003,0,0,0,8,2.2222222222222223,64,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,5,15.675,8.0,16.2125,17.95,12.9125,0.0,10.0,18.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.5,8.0,7.0,0.0,16.612499999999997,1.1890778990461437,13.543452285714284,3.0802301861392163,13.543452285714284,3.0802301861392163,12.0,5.291502622129181,11.857142857142858,3.532165125838609,11.857142857142858,3.532165125838609,1.0,1.7320508075688772,1.0,1.414213562373095,1.0,1.414213562373095,1.0,0.0,1.0,0.0,1.0,0.0,8.166666666666666,0.2886751345948145,7.285714285714286,1.14953406710222,7.285714285714286,1.14953406710222,2013,0,126,0,2,0.49999999999999994,-0.8660254037844387,0.8263541987239096,-0.5631507242749186,11.675,15.675,0.04536290322580605,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2013-05-07,1.0,17.4125,10,21.0,5,17.4125,290.5625,303.19515625,0,0,0,10,2.7777777777777777,100,0,0,1.0,12.5,1.0,1,0,0,0,0,0,0,2,5,17.6625,7.0,15.675,16.2125,17.95,11.116666,8.0,10.0,18.0,15.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,8.0,8.5,8.0,7.5,16.433333333333334,0.8895516192629455,14.442857142857145,3.1713467921674017,14.02708325,3.162847878915264,9.333333333333334,1.1547005383792515,11.142857142857142,3.28778402720188,11.625,3.3354160160315836,1.3333333333333333,1.5275252316519468,0.7142857142857143,1.1126972805283735,1.0,1.3093073414159542,1.3333333333333333,0.5773502691896258,1.1428571428571428,0.37796447300922725,1.125,0.3535533905932738,7.833333333333333,0.7637626158259738,7.214285714285714,1.14953406710222,7.25,1.0690449676496974,2013,1,127,0,2,0.49999999999999994,-0.8660254037844387,0.8165380514459161,-0.5772916165517272,12.412500000000001,15.235937500000002,1.7828629032258068,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2013-05-08,4.0,18.8125,9,21.0,5,18.8125,291.9625,353.91015625,1,0,0,9,2.5,81,0,0,4.0,50.0,16.0,0,0,0,0,0,0,0,2,7,19.8125,7.5,17.4125,15.675,16.2125,9.9,10.0,8.0,10.0,11.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,7.0,8.0,8.5,5.0,17.3,1.5717724867168248,15.716071428571428,2.8122751232849903,14.558796222222222,3.3611938400631467,9.0,1.0,10.857142857142858,3.387652649872841,11.333333333333334,3.24037034920393,1.6666666666666667,2.081665999466133,1.2857142857142858,1.6035674514745462,1.3333333333333333,1.5811388300841898,1.6666666666666667,0.5773502691896258,1.2857142857142858,0.48795003647426666,1.2222222222222223,0.4409585518440984,7.5,0.5000000000000007,7.571428571428571,0.6074928962939555,7.277777777777778,1.0034662148993578,2013,2,128,0,2,0.49999999999999994,-0.8660254037844387,0.8064799463209448,-0.5912614448635781,14.3125,9.40625,3.1828629032258053,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2013-05-09,7.0,16.125,11,21.0,5,16.125,289.275,260.015625,0,0,0,11,3.0555555555555554,121,0,0,7.0,87.5,49.0,0,1,0,0,0,0,0,2,5,17.875,7.0,18.8125,17.4125,15.675,11.0375,9.0,10.0,8.0,12.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,7.5,7.0,8.0,7.0,17.450000000000003,1.344142384570917,16.442857142857143,1.9163340808751987,14.715416600000001,3.2074338494954078,10.0,1.0,10.714285714285714,3.352326839390104,11.3,3.0568684048294332,4.0,3.0000000000000004,2.142857142857143,2.6726124191242437,1.9,2.330951164939612,2.0,0.0,1.4285714285714286,0.5345224838248488,1.3,0.4830458915396479,7.166666666666667,0.2886751345948141,7.571428571428571,0.6074928962939555,7.25,0.9501461875826148,2013,3,129,0,2,0.49999999999999994,-0.8660254037844387,0.7961828637826158,-0.6050560696488488,10.625,2.015625,0.49536290322580534,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2013-05-10,5.0,15.5,12,21.0,5,15.5,288.65,240.25,0,0,0,12,3.333333333333333,144,0,0,5.0,62.5,25.0,0,0,0,0,0,0,0,2,6,16.75,7.0,16.125,18.8125,17.4125,12.9125,11.0,9.0,10.0,9.0,7.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,7.0,7.5,7.0,7.0,16.8125,1.760015980041088,16.8125,1.2585126803757862,14.786742363636364,3.0520205961201268,10.666666666666666,1.5275252316519468,11.142857142857142,3.2877840272018806,11.363636363636363,2.907670107585359,5.333333333333333,1.527525231651948,2.857142857142857,2.6726124191242437,2.1818181818181817,2.400757456228422,2.0,0.0,1.5714285714285714,0.5345224838248489,1.3636363636363635,0.504524979109513,7.166666666666667,0.2886751345948141,7.571428571428571,0.6074928962939555,7.2272727272727275,0.9045340337332908,2013,4,130,0,2,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031,9.5,5.8125,-0.12963709677419466,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
